sitters,(n.) （被拍照或画像的）模特,
backdrops,(n.) （照片的）背景,
camera,(n.) 相机,
exposure times,(n. phr.) 曝光时间,
daguerreotype,(n.) 达盖尔银版法（早期摄影技术）,
portable,(adj.) 便携式的,
dentistry,(n.) 牙科，牙医学,
re-evaluate,(v.) 重新评估,
impression,(n.) 印象,
prudery,(n.) （过分的）拘谨，假正经,
concede,(v.) （常指不情愿地）承认,
dignity,(n.) 尊严,
disapproval,(n.) 不赞成,
notion,(n.) 观念，看法,
attitude,(n.) 态度,
belief,(n.) 观念，信仰,
view,(n.) 看法，观点,
controversial,(adj.) 有争议的,
misguided,(adj.) 被误导的,
thought-provoking,(adj.) 发人深省的,
deep-rooted,(adj.) 根深蒂固的,
smiling,(adj.) 微笑的,
miserably,(adv.) 痛苦地,
stiffly,(adv.) 僵硬地,
absently,(adv.) 心不在焉地，茫然地,
blurred,(adj.) 模糊的,
fixed,(adj.) 固定的,
instantaneous,(adj.) 瞬间的，即刻的,
spontaneous,(adj.) 自发的，自然的,
rare,(adj.) 罕见的,
unhealthy,(adj.) 不健康的,
hygiene,(n.) 卫生,
becoming,(adj.) 合适的，得体的,
damning,(adj.) 非常糟糕的,
stern,(adj.) 严肃的，严厉的,
inherent,(adj.) 固有的，内在的,
shatter,(v.) 粉碎，打破（形象、观念）,
posing,(v.) 摆姿势,
staring,(v.) 凝视,
contemplate,(v.) 思忖，考虑,
hesitated,(v.) 犹豫,
conceal,(v.) 隐藏，遮盖,
alluding to,(v. phr.) 暗指，影射,
gurn,(v.) （为引人发笑而）做鬼脸,
illustrated,(v.)阐明，说明,
highlighted,(v.) 凸显，强调,
mirror,(v.) 反映,
preoccupied with,全神贯注于,
causing a stir,引起轰动,
fade away,逐渐消失,
a tiny percentage of,…的极小一部分,
look elsewhere for,从别处寻找,
the preserve of,…的专属领域/特权,
properly bred,有良好教养的,
a hearty laugh,爽朗的大笑,
social conventions,(n. phr.) 社会习俗,
cheesy grin,(phr.) 咧嘴傻笑，做作的笑,
toothy grin,(phr.) 露齿的笑,
lacked class,(phr.) 缺乏品味，没档次,
what better way to do sth.?," """"做某事还有什么更好的方式吗？（用于反问，强调这是最好的方式）""""",
It is all very well...but…,……固然很好/诚然如此，但是……（用于让步转折）,
...makes up only a tiny percentage of...,……只占……的极小一部分。,
change,(v./n.) 改变,
illustrate,(v.) 阐明，说明,
highlight,(v.) 凸显，强调,
show,(v.) 表明，展示,
development,(n.) 发展,
effects,(n.) 效果，影响,
idea,(n.) 想法,
distrust,(n.) 不信任,
popular,(adj.) 流行的，普遍的,
social,(adj.) 社会的,
public,(adj.) 公众的,
sensitiveness,(n.) 敏感,
tension,(n.) 紧张,
conventions,(n.) 习俗，惯例,
norm,(n.) 常态，规范,
kept from,(phr.) 阻止，使…不做…,
answer,(v.) 回答,
quoted,(v.) 引用,
social media's role,社交媒体的角色/作用,
notion of public image,关于公众形象的观念,
in popular use,被广泛使用,
exposure times,曝光时间,
social conventions,社会习俗,
dental condition,牙齿状况,
social sensitiveness,社会敏感性,
tension before the camera,镜头前的紧张感,
distrust of new inventions,对新发明的不信任,
disapproval of smiles,对微笑的不赞成,
deep-rooted belief,根深蒂固的观念,
"According to [source], [subject]...",根据[信息来源]，[主语]……（考察细节信息）,
What does the author say about...?,关于……作者说了什么？（考察作者观点或描述）,
What might have kept [someone] from [doing something]?,可能是什么原因阻止了[某人]做[某事]？（考察原因分析）,
[Someone] is quoted to show that...,引用[某人]的话是为了表明……（考察例证作用）,
Which of the following questions does the text answer?,本文回答了下列哪个问题？（考察文章主旨）,
advocates,(n.) 倡导者，支持者,
rules,(n.) 规则，规定,
providers,(n.) 供应商,
courts,(n.) 法院,
federal appeals court,(n. phr.) 联邦上诉法院,
resolution,(n.) 解决方案；决议,
Federal Communications Commission (FCC),(n. phr.) （美国）联邦通信委员会,
net neutrality,(n. phr.) 网络中立性,
order,(n.) （具有法律效力的）政令，命令,
authority,(n.) 权力，权限,
regulate,(v.) 监管，管制,
agencies,(n.) （政府）机构,
Supreme Court,(n. phr.) 最高法院,
ruling / decision,(n.) 裁决，判决,
Judge,(n.) 法官,
opinion,(n.) （法官的）判决意见书,
Congress,(n.) （美国）国会,
intervene,(v.) 干预，介入,
Justice Department,(n. phr.) （美国）司法部,
law,(n.) 法律,
abdication,(n.) 放弃（职责、权力）,
legal,(adj.) 法律的,
explicit,(adj.) 明确的，清晰的,
supervision,(n.) 监督,
broadband,(n.) 宽带,
connections,(n.) （网络）连接,
affiliated,(adj.) 关联的，附属的,
rivals,(n.) 竞争对手,
innovation,(n.) 创新,
lifeblood,(n.) 命脉,
conglomerate,(n.) 集团公司，企业集团,
video-streaming service,(n. phr.) 视频流媒体服务,
data caps,(n. phr.) 流量上限，数据上限,
traffic,(n.) （网络）流量,
network,(n.) 网络,
online,(adj./adv.) 线上的，在网上,
concern,(n.) 担忧，关切,
incentive,(n.) 动机，激励,
demand,(n.) 要求，需求,
pushback,(n.) 阻力，强烈反对,
anti-regulatory,(adj.) 反对监管的,
stance,(n.) 立场,
anti-competitive,(adj.) 反竞争的，妨碍公平竞争的,
unfair,(adj.) 不公平的,
unanimously,(adv.) 一致地,
deregulatory,(adj.) 放松监管的,
unhinged from,(adj. phr.) 与…脱节的，脱离…的,
realities,(n.) 现实,
anachronism,(n.) 时代错乱，不合时宜的人或物,
ambiguous,(adj.) 模棱两可的，含糊不清的,
out of touch with,(phr.) 与…脱节,
at odds with,(phr.) 与…不一致，与…相悖,
trivialities,(n.) 琐事，细枝末节,
openness,(n.) 开放性,
partiality,(n.) 偏袒，不公平,
favor,(v.) 偏袒，偏爱,
prevent,(v.) 阻止,
preserving,(v.) 维护，保护,
weighed in,(phr.) 介入，参与讨论,
prolonged,(v.) 延长,
adopted,(v.) 采纳，通过,
eliminated,(v.) 废除，消除,
rejected,(v.) 否决，拒绝,
imposed,(v.) 强加，施加,
upheld,(v.) 维持（原判）,
citing,(v.) 援引，引证,
threw out,(phr.) 驳回，否决,
block,(v.) 阻止,
preempt,(v.) 取代，（以优先权）阻止,
undermine,(v.) 削弱，损害,
enacted,(v.) 颁布（法律）,
bar,(v.) 禁止,
meddling in,(phr.) 干预，干涉,
diversify,(v.) 使多样化,
in part because of,部分因为,
at issue,在争议中，问题的关键是,
party-line vote,按党派划线的投票,
at the expense of,以…为代价,
in the meantime,与此同时,
in the wake of,紧随…之后,
cry out for,迫切需要，大声呼吁,
once and for all,一劳永逸地，彻底地,
back-and-forth,(n.) 反复无常，来回不定,
That's why...,这就是为什么……（用于解释原因，引出结果）,
instead of doing A ，it only does B,非但没有做A，反而只是做了B（表转折和递进）,
The result is unhinged from...,结果脱离了……（用于批判某个结果不切实际）,
FCC (Federal Communications Commission),(n.) （美国）联邦通信委员会,
appeals court,(n. phr.) 上诉法院,
states,(n.) （美国）州,
resolution,(n.) 决议,
rulings,(n.) 裁决，判决,
rights,(n.) 权利,
ensure,(v.) 确保,
protect,(v.) 保护,
broadband providers,(n. phr.) 宽带供应商,
clients,(n.) 客户,
web-based firms,(n. phr.) 网络公司,
competition,(n.) 竞争,
unfair competition,(n. phr.) 不公平竞争,
anti-competitive practices,(n. phr.) 反竞争行为,
engages in,(v. phr.) 从事，参与,
argues,(v.) 主张，认为,
message,(n.) 信息,
out-of-date,(adj.) 过时的,
online services,(n. phr.) 网络服务,
issued,(v.) 发布,
conveys,(v.) 传达,
show partiality,表现出偏袒,
bring under control,将…置于控制之下,
slow down,减慢,
intensify competition,加剧竞争,
sticks to,坚持,
take a stance,采取一种立场,
in pursuit of,追求,
protects against,防止，防范,
focuses on,关注，聚焦于,
put under supervision,置于…监督之下,
take action,采取行动,
out of touch with reality,脱离现实,
at odds with,与…不一致，与…相悖,
There has long been concern that...,长期以来，人们一直担心……（考察事实细节）,
Faced with...[someone] does…,面对……，[某人]做了……（考察行为或立场）,
What can be learned about...?," """"关于……我们可以了解到什么？（考察细节推断）""""",
[Someone] argues that...,[某人]认为……（考察观点细节）,
What does the author argue in...?," """"作者在……中主张什么？（考察作者观点）""""",
fluid intelligence,流体智力,
short-term memory,短期记忆,
logically,(adv.) 有逻辑地,
abstractly,(adv.) 抽象地,
brain function,大脑功能,
muscle loss,肌肉流失,
body fat,身体脂肪,
abdomen,(n.) 腹部,
lean muscle,瘦肌肉,
immunity,(n.) 免疫力,
physical,(adj.) 身体的,
mental,(adj.) 精神的,
wellbeing,(n.) 健康，安康,
aerobic exercise,(n. phr.) 有氧运动,
fiber,(n.) 纤维,
diet,(n.) 饮食,
symptoms,(n.) 症状,
prescription,(n.) 处方,
peaks,(v.) 达到顶峰,
levels out,(v. phr.) 趋于平稳,
decline,(n./v.) 下降,
aging,(n.) 衰老,
accumulation,(n.) 积累，堆积,
prevent,(v.) 预防,
delay,(v.) 延缓,
included,(v.) 包含,
compared,(v.) 比较,
scored,(v.) 得分,
resulted from,(v. phr.) 由…引起,
involved,(v.) 涉及，牵涉,
explain,(v.) 解释,
lead to,(v. phr.) 导致,
reduce,(v.) 减少,
maintain,(v.) 维持,
increasing,(v.) 增加,
eliminates,(v.) 消除，排除,
utilize,(v.) 利用,
alter,(v.) 改变,
scientists,(n.) 科学家,
study,(n.) 研究,
researchers,(n.) 研究人员,
data,(n.) 数据,
measurements,(n.) 测量值,
association,(n.) 关联,
differences,(n.) 差异,
treatments,(n.) 治疗方法,
approaches,(n.) 方法,
generally,(adv.) 通常，普遍地,
alternatively,(adv.) 二选一地，或者,
formally,(adv.) 正式地,
accidentally,(adv.) 偶然地,
while,(conj.) 虽然，尽管,
meanwhile,(adv.) 与此同时,
likewise,(adv.) 同样地,
therefore,(adv.) 因此,
instead,(adv.) 相反地,
has to do with,与…有关,
in order to,为了,
a period of time,一段时间,
as we age,随着我们年龄增长,
be associated with,与…有关联,
compare A to B,将A与B进行比较,
as the years went by,随着岁月流逝,
be attributable to,可归因于…,
result from,由…引起,
take steps,采取措施,
lean muscle mass,瘦肌肉块,
highly recommended,被强烈推荐的,
Mediterranean-style diet,地中海式饮食,
high in,富含…,
"It [verb]..., levels out..., and then starts to...",(描述一个过程随时间的变化),
"But while A is..., B may not be.",(让步转折句型) 但是，虽然A是…，B却可能不是。,
This suggests that...,(引出结论或推测) 这表明…,
...may be attributable to...,(解释原因) ……可能归因于……,
artificial intelligence (AI),(n.) 人工智能,
sinister,(adj.) 邪恶的，险恶的,
automation,(n.) 自动化,
unemployment,(n.) 失业,
predictions,(n.) 预测,
employees,(n.) 员工,
hiring practices,(n. phr.) 招聘实践,
unconscious bias,(n. phr.) 无意识偏见,
résumés,(n.) 简历,
candidates,(n.) 候选人,
analytics,(n.) 分析学，分析,
marketing,(n.) 市场营销,
advertising performance,(n. phr.) 广告表现/业绩,
premiums,(n.) （保险）费,
risk,(n.) 风险,
accuracy,(n.) 准确性,
statistics,(n.) 统计数据,
contracts,(n.) 合同,
audit,(n.) 审计,
infrastructure,(n.) 基础设施,
equipment failure,(n. phr.) 设备故障,
leaks,(n.) 泄漏,
depicted as,(v. phr.) 被描绘成,
upend,(v.) 颠覆,
involve,(v.) 涉及，包含,
aiding,(v.) 帮助 (aid的现在分词),
replacing,(v.) 取代 (replace的现在分词),
remove,(v.) 消除，移除,
selects,(v.) 挑选,
identify,(v.) 识别,
analyze,(v.) 分析,
optimize,(v.) 优化,
outperform,(v.) （在性能上）超越,
assess,(v.) 评估,
review,(v.) 审查,
inspect,(v.) 检查,
predict,(v.) 预测,
typically,(adv.) 通常，典型地,
impending,(adj.) 即将发生的,
doom-and-gloom,(adj.) 悲观的，前景黯淡的,
unconscious,(adj.) 无意识的,
biased,(adj.) 有偏见的,
promising,(adj.) 有前途的，有希望的,
effective,(adj.) 有效的,
valuable,(adj.) 有价值的,
smarter,(adj.) 更明智的,
accurate,(adj.) 准确的,
expensive,(adj.) 昂贵的,
relevant,(adj.) 相关的,
in relation to,关于，与…相关,
when it comes to,当谈到…,
in addition,此外,
in greater numbers,数量更多地,
be able to,能够,
cut down on,削减，减少,
base sth. on sth.,把…建立在…的基础上,
beyond human scale,超出人类的能力范围,
point to,指向，指出,
...in what ways is AI changing... that don't involve...?,AI正在通过哪些不涉及……的方式改变着……？（用于提出深入探究的问题）,
...use AI more often in A than in B,在A方面比在B方面更常使用AI。,
Here are a few ways...,以下是几种方式……（用于开启列表或举例）,
There are also companies like...,还有像……这样的公司。（用于并列举例）,
"You want to..., and point to where...",你希望能……，并指出……（用于表达期望达到的理想效果）,
higher education,高等教育,
enrollment,(n.) 入学人数，入学率,
university,(n.) 大学,
postgraduate study,(n. phr.) 研究生学习/教育,
faculty,(n.) （大学的）院，系；全体教职工,
academic life,(n. phr.) 学术生活,
academic innovation,(n. phr.) 学术创新,
scholars,(n.) 学者,
institution,(n.) （大学、学院等）机构,
societies,(n.) 社会,
social classes,(n. phr.) 社会阶层,
demand,(n.) 需求,
expansion,(n.) 扩张，扩大,
growth rates,(n. phr.) 增长率,
governance,(n.) 治理，管理,
administration,(n.) 行政，管理,
stability,(n.) 稳定,
empowerment,(n.) 授权,
came out of,(v. phr.) 从…中走出来，经历…之后,
extended to,(v. phr.) 扩展到，延伸到,
attending,(v.) 上（大学）,
doubled,(v.) 翻了一番,
define,(v.) 界定，确立,
increased,(v.) 增加,
weakened,(v.) 削弱,
admitted into,(v. phr.) 被接纳进入,
watershed,(adj.) 分水岭式的，转折点的,
modern,(adj.) 现代的,
constant,(adj.) 稳定的，不变的,
roughly,(adv.) 大致地，粗略地,
rapid,(adj.) 迅速的,
unevenly,(adv.) 不均衡地,
peculiar,(adj.) 特有的，独特的,
predominantly,(adv.) 主要地，绝大多数地,
fresh from,(adj. phr.) 刚从…出来/刚完成…,
junior,(adj.) 资历较浅的,
age groups,年龄段,
entry to,进入…的（机会/权利）,
in its wake,(phr.) 紧随其后，作为其结果,
place strains on,(phr.) 对…造成压力,
above all,(phr.) 首先，最重要的是,
a community of scholars,(phr.) 学者群体，学术共同体,
to some degree,(phr.) 在某种程度上,
...had been... during the decades before...,（过去完成时）在……之前的几十年里曾是……,
...the demand that... extended to...,……的需求扩展到了……,
...the forms and processes by which...,……的那些形式和程序（定语从句）,
"when..., they...",(时间状语从句) 当……的时候，他们……,
